section	row_label	owner_path	command	exit_code	status	residual_reason
3	Stripe webhook signature verification rejects forged or replayed requests	infra/api/tests/integration/stripe_webhook_signature_test.rs	cd infra && INTEGRATION=1 BACKEND_LIVE_GATE=1 cargo test -p api --test billing stripe_webhook_signature -- --nocapture	0	green	
3	Stripe webhook signature verification rejects forged or replayed requests	scripts/canary/contracts/stripe_webhook_bad_signature_reject_contract.sh			not_local	live-prod https://api.flapjack.foo webhook endpoint required
3	Stripe webhook signature verification rejects forged or replayed requests	scripts/canary/contracts/stripe_webhook_stale_timestamp_reject_contract.sh			not_local	live-prod https://api.flapjack.foo webhook endpoint required
3	Auth rate-limit boundary returns 429	infra/api/tests/integration/security_test.rs	cd infra && INTEGRATION=1 BACKEND_LIVE_GATE=1 cargo test -p api --test auth_admin auth_rate_limit_returns_429_after_threshold -- --nocapture	0	green	
3	S3 boundary enforces retry-after contract	infra/api/tests/integration/security_test.rs	cd infra && INTEGRATION=1 BACKEND_LIVE_GATE=1 cargo test -p api --test auth_admin s3_rate_limit_enforces_retry_after_and_slowdown_payload -- --nocapture	0	green	
3	OAuth redirect URI contract	scripts/canary/contracts/oauth_redirect_uri_contract.sh			not_local	OAuth provider token endpoints and callback reachability required
3	Tenant query/write throttling (noisy-neighbor fail-closed)	infra/api/tests/integration/noisy_neighbor_test.rs	cd infra && INTEGRATION=1 BACKEND_LIVE_GATE=1 cargo test -p api --test platform noisy_neighbor -- --nocapture	0	green	
3	Auth lockout enforcement	infra/api/tests/integration/auth_lockout_test.rs	cd infra && INTEGRATION=1 BACKEND_LIVE_GATE=1 cargo test -p api --test auth_admin auth_lockout -- --nocapture	0	green	
3	API key auth boundary	infra/api/tests/integration/api_key_auth_test.rs	cd infra && INTEGRATION=1 BACKEND_LIVE_GATE=1 cargo test -p api --test auth_admin api_key_auth -- --nocapture	0	green	
3	Tenant JWT and internal-secret auth boundaries reject invalid credentials	infra/api/tests/integration/auth_test.rs	cd infra && INTEGRATION=1 BACKEND_LIVE_GATE=1 cargo test -p api --test auth_admin tenant_wrong_secret_returns_401 -- --nocapture	0	green	
3	Tenant JWT and internal-secret auth boundaries reject invalid credentials	scripts/canary/contracts/tenant_jwt_wrong_secret_reject_contract.sh			not_local	live-prod https://api.flapjack.foo account endpoint required
3	Tenant JWT and internal-secret auth boundaries reject invalid credentials	infra/api/tests/integration/internal_auth_test.rs	cd infra && INTEGRATION=1 BACKEND_LIVE_GATE=1 cargo test -p api --test auth_admin internal_auth -- --nocapture	0	green	
3	EC2 firewalld boundary contract	scripts/canary/contracts/ec2_firewalld_contract.sh			not_local	AWS EC2/SSM access to fjcloud-api instances required
5	Cross-tenant index isolation: a foreign tenant gets 404 and zero flapjack proxy requests across settings, search, dictionaries, suggestions, personalization, recommendations, and chat	infra/api/tests/integration/cross_tenant_isolation_test.rs	cd infra && INTEGRATION=1 BACKEND_LIVE_GATE=1 cargo test -p api --test platform cross_tenant_isolation -- --nocapture	0	green	
5	Randomized tenant-isolation boundary coverage across shared-owner route families (proptest, strict mode)	infra/api/tests/integration/tenant_isolation_proptest.rs	cd infra && INTEGRATION=1 BACKEND_LIVE_GATE=1 cargo test -p api --test platform --features proptest-tests tenant_isolation_proptest:: -- --nocapture	0	green	
5	Per-tenant noisy-neighbor throttling and quota enforcement: query/write rate limits fail closed, and one tenant throttle does not affect another	infra/api/tests/integration/noisy_neighbor_test.rs	cd infra && INTEGRATION=1 BACKEND_LIVE_GATE=1 cargo test -p api --test platform noisy_neighbor -- --nocapture	0	green	
5	Tenant-map endpoint routing: returns all active tenants, falls back to VM-inventory URL when the deployment has none, and keeps flapjack_url null when neither deployment nor VM has one	infra/api/tests/integration/metering_multitenant_test.rs	cd infra && INTEGRATION=1 BACKEND_LIVE_GATE=1 cargo test -p api --test platform metering_multitenant -- --nocapture	0	green	
5	Single-tenant live metering capture through the pipeline (metering_agent_captures_real_flapjack_usage)	infra/api/tests/integration/integration_metering_pipeline_test.rs			not_local	local API 127.0.0.1:3099 and local flapjack 127.0.0.1:7799 unavailable: connection refused
5	Multi-tenant S3 object-metering concurrency correctness: same-key put/put, put/delete, and delete/put recreate keep bucket totals correct under concurrency	infra/api/tests/integration/storage_s3_object_metering_concurrency_test.rs	cd infra && INTEGRATION=1 BACKEND_LIVE_GATE=1 cargo test -p api --test platform storage_s3_object_metering_concurrency -- --nocapture	0	green	
5	Cross-tenant metering attribution under concurrent multi-tenant load (closes the attribution gap above)	infra/api/tests/integration/integration_metering_pipeline_test.rs			not_local	local API 127.0.0.1:3099 and local flapjack 127.0.0.1:7799 unavailable: connection refused
5	Staging soak: multi-tenant isolation under C1/C3 load patterns against the fjcloud topology	scripts/launch/multi_tenant_isolation_probe.sh			not_local	staging topology and output bundle path required
